BIN,Type,Generated Full Card Number
642883,Unknown,6428838277663492
294792,Unknown,2947926953052556
789253,Unknown,7892539046851570
408718,Unknown,4087185033129237
315322,Unknown,3153227036153709
334010,Unknown,3340106310633050
540151,Unknown,5401514836620683
185189,Unknown,1851896432034708
368270,Diners,36827058569425
554787,MasterCard,5547872017653429
278288,Unknown,2782887226607489
706868,Unknown,7068681292964274
891748,Unknown,8917486816757895
198311,Unknown,1983113409391402
230590,Unknown,2305901019126017
267907,Unknown,2679076628057386
297103,Unknown,2971036043142551
543563,Unknown,5435634917275865
811467,Unknown,8114677445771448
914446,Unknown,9144460264564557
585017,Unknown,5850177934979030
331203,Unknown,3312034269039672
432987,Unknown,4329876923260180
291793,Unknown,2917931272706989
521059,Unknown,5210590369675248
400418,Unknown,4004182756738156
919500,Unknown,9195003546670855
336457,Unknown,3364574990737438
305198,Diners,30519845509648
622201,Unknown,6222016342093066
563843,Unknown,5638433753830255
974485,Unknown,9744854498958827
755788,Unknown,7557882314238701
887308,Unknown,8873087362250767
663328,Unknown,6633282108921251
794285,Unknown,7942859131695688
915671,Unknown,9156719085789541
254913,Unknown,2549131573594914
778142,Unknown,7781420724364677
465623,Visa,4656234533528944
737324,Unknown,7373240165297064
688660,Unknown,6886601057304256
927428,Unknown,9274280842525405
438687,Visa,4386879209557982
555884,Unknown,5558841948124380
125145,Unknown,1251452002374593
623266,Unknown,6232661178218491
267634,Unknown,2676340868180602
354027,JCB,3540276163661856
185101,Unknown,1851019317844637
455619,Visa,4556198412113188
559734,Unknown,5597341450660312
724454,Unknown,7244546962410773
179607,Unknown,1796073906804906
294767,Unknown,2947673041959609
541163,MasterCard,5411635695638972
846515,Unknown,8465154696473911
993471,Unknown,9934718620997144
636429,Unknown,6364290885868400
427145,Unknown,4271454708263145
771605,Unknown,7716058308545860
751445,Unknown,7514457281296508
810548,Unknown,8105488960854344
761069,Unknown,7610696899170534
723846,Unknown,7238469455046979
270675,Unknown,2706750871535330
712625,Unknown,7126250448618438
328317,Unknown,3283170845007838
551992,Unknown,5519924063980291
425249,Unknown,4252496667094965
992054,Unknown,9920543731047101
682898,Unknown,6828984102514703
465216,Unknown,4652168219867300
901091,Unknown,9010918522576565
760141,Unknown,7601416580652586
694328,Unknown,6943288655900014
967980,Unknown,9679804203791940
230617,Unknown,2306170095291992
897268,Unknown,8972682798217243
166505,Unknown,1665052933950288
589041,Unknown,5890412309710056
232041,Unknown,2320417325759268
926288,Unknown,9262882943526559
272189,Unknown,2721894610590691
258340,Unknown,2583400008741218
416590,Visa,4165905364376355
279661,Unknown,2796614067295528
141064,Unknown,1410647820342665
272923,Unknown,2729233117480177
607885,Unknown,6078855534923435
272443,Unknown,2724433021782108
966584,Unknown,9665846469783925
631916,Unknown,6319163237121905
939472,Unknown,9394723645828946
133297,Unknown,1332976322356832
391636,Diners,39163605229812
837696,Unknown,8376966094623247
240274,Unknown,2402742170912500
270008,Unknown,2700080054252308
576701,Unknown,5767015626269242
610424,Unknown,6104245469213966
693660,Unknown,6936608682195599
991957,Unknown,9919576396045382
280472,Unknown,2804728817490639
882762,Unknown,8827623527848348
186543,Unknown,1865430375090529
750211,Unknown,7502114516505611
132723,Unknown,1327231804211632
194305,Unknown,1943057584310176
746456,Unknown,7464561257369580
389331,Diners,38933114215682
102223,Unknown,1022230815607272
509822,Unknown,5098222794370668
911983,Unknown,9119832732291383
169148,Unknown,1691484058073422
450936,Unknown,4509367779214238
259357,Unknown,2593576675790450
987747,Unknown,9877474940625060
543406,Unknown,5434066029870053
498462,Unknown,4984629643778709
243715,Unknown,2437155476870548
390838,Unknown,3908382068888497
329387,Unknown,3293878948008256
974905,Unknown,9749051224169866
988761,Unknown,9887612180567486
705411,Unknown,7054111839723218
719876,Unknown,7198764813095985
381443,Diners,38144365037394
730224,Unknown,7302246534856563
363793,Diners,36379353727204
219512,Unknown,2195127744378254
751977,Unknown,7519772312287028
971197,Unknown,9711974290599135
478222,Unknown,4782222607996872
408526,Unknown,4085267979020028
982076,Unknown,9820762014899316
783036,Unknown,7830364880472360
992965,Unknown,9929656173757948
512990,Unknown,5129902664784484
686761,Unknown,6867611466662067
647061,Discover,6470618330878336
867244,Unknown,8672444234726091
945896,Unknown,9458964837648823
308384,Unknown,3083841307416650
698593,Unknown,6985936408496029
597053,Unknown,5970536185611667
318814,Unknown,3188144837849641
889834,Unknown,8898343127545307
264595,Unknown,2645951937928149
367001,Diners,36700101613729
738593,Unknown,7385932760523440
413692,Visa,4136921778321498
418072,Visa,4180729818795837
593431,Unknown,5934318384322562
878740,Unknown,8787402756152596
433798,Unknown,4337987830922772
596946,Unknown,5969463227202045
670868,Unknown,6708687584377394
708602,Unknown,7086023877491896
743781,Unknown,7437810524212575
643623,Unknown,6436239054150595
609823,Unknown,6098232648152876
806564,Unknown,8065642840428801
133793,Unknown,1337937284685851
730003,Unknown,7300030628783034
182865,Unknown,1828655344477354
245097,Unknown,2450974035603047
629883,Unknown,6298838549361402
633416,Unknown,6334163833490069
497615,Unknown,4976158262862046
354807,JCB,3548070386551028
950380,Unknown,9503807944331046
359986,JCB,3599862176020492
424973,Visa,4249736624708396
860557,Unknown,8605574892755964
432783,Unknown,4327831224624516
488537,Visa,4885373140870687
154964,Unknown,1549642885877410
845741,Unknown,8457417692426854
397134,Diners,39713474561785
831424,Unknown,8314244061958110
140135,Unknown,1401350329483322
778238,Unknown,7782382369563295
452590,Visa,4525903214082767
611534,Unknown,6115344282266399
491667,Visa,4916674587049340
798896,Unknown,7988961984190004
875475,Unknown,8754750121367143
585055,Unknown,5850558032342946
646314,Discover,6463149445542729
216015,Unknown,2160153955005169
717000,Unknown,7170000841815900
728746,Unknown,7287462106925050
928197,Unknown,9281971400985569
654996,Discover,6549967381847282
714043,Unknown,7140437522129788
333202,Unknown,3332029448178383
451247,Visa,4512473269872225
937165,Unknown,9371656321888513
791598,Unknown,7915981438965992
943712,Unknown,9437124901742740
705319,Unknown,7053195431265118
785054,Unknown,7850543711602495
315028,Unknown,3150286555455886
850853,Unknown,8508531868543813
669143,Unknown,6691435495348715
323860,Unknown,3238604875383578
982564,Unknown,9825642489361863
226907,Unknown,2269073422153863
589455,Unknown,5894556043653983
868339,Unknown,8683391302326864
128071,Unknown,1280717637970378
879820,Unknown,8798202161499484
132895,Unknown,1328953004825520
313572,Unknown,3135724374165746
573562,Unknown,5735621507564947
288476,Unknown,2884769437057668
419207,Unknown,4192070704075256
901791,Unknown,9017913405590474
269468,Unknown,2694683737007511
615065,Unknown,6150652291450133
969607,Unknown,9696074276664499
704444,Unknown,7044447040808852
156874,Unknown,1568749921046793
229352,Unknown,2293526868859342
671204,Unknown,6712047287670296
927116,Unknown,9271166018476519
399379,Diners,39937980940247
928489,Unknown,9284892335356480
601622,Unknown,6016220003783361
606089,Unknown,6060890879251830
423666,Unknown,4236668515219251
930431,Unknown,9304315038637328
772748,Unknown,7727483254822623
607500,Unknown,6075007059045802
264139,Unknown,2641392925152622
486522,Visa,4865226122047256
187617,Unknown,1876175431736619
844148,Unknown,8441481420923391
643386,Unknown,6433860560990782
619551,Unknown,6195515084523641
669444,Unknown,6694441518494393
764966,Unknown,7649665573725442
495560,Visa,4955602469061501
456787,Visa,4567870372792249
239125,Unknown,2391259780724033
322480,Unknown,3224801594344328
324785,Unknown,3247858976769966
116338,Unknown,1163387899502394
211997,Unknown,2119972364628572
947394,Unknown,9473941219589892
631297,Unknown,6312977978641920
546158,Unknown,5461587058078238
676831,Unknown,6768310607999542
253457,Unknown,2534575002159917
389885,Diners,38988539335646
601031,Unknown,6010312168381774
133250,Unknown,1332502990737115
186214,Unknown,1862141995156447
842493,Unknown,8424936145735080
928367,Unknown,9283671628896221
478422,Unknown,4784224935744523
914779,Unknown,9147791227178055
292651,Unknown,2926518162409103
992528,Unknown,9925282878304691
698459,Unknown,6984594432026906
118146,Unknown,1181465161421903
227609,Unknown,2276093909442302
474004,Unknown,4740045641339960
158391,Unknown,1583910617194464
450751,Visa,4507514554869952
765909,Unknown,7659097293585771
317170,Unknown,3171707220271784
912916,Unknown,9129164514371531
736030,Unknown,7360305047679948
963033,Unknown,9630332784864787
536091,MasterCard,5360915994521148
530391,Unknown,5303915184879506
776185,Unknown,7761856348338109
814090,Unknown,8140902429635240
455453,Unknown,4554537936009841
651501,Discover,6515011927654458
969080,Unknown,9690809183701539
134092,Unknown,1340920027544868
642589,Unknown,6425896065587417
417588,Unknown,4175887075724381
208637,Unknown,2086371814450058
415538,Unknown,4155381066215663
685013,Unknown,6850139790470219
943703,Unknown,9437035963141824
912512,Unknown,9125128442661812
313619,Unknown,3136192823337352
911240,Unknown,9112404334829901
120969,Unknown,1209692225191282
234264,Unknown,2342645738888084
902242,Unknown,9022426511180971
373369,Amex,373369073901459
472812,Visa,4728123813293521
995709,Unknown,9957098577636771
356398,JCB,3563982626922452
165494,Unknown,1654946567914825
994323,Unknown,9943230966944499
767416,Unknown,7674165425208177
832119,Unknown,8321195106970383
691307,Unknown,6913071601474532
990068,Unknown,9900682550430969
426753,Unknown,4267536165388179
921612,Unknown,9216120406215035
213453,Unknown,2134535459345687
807706,Unknown,8077069018714353
356672,JCB,3566724201891874
584449,Unknown,5844498977590341
